Eutheria	MIR-188
Eutheria	MIR-1911
Eutheria	MIR-1912
Eutheria	MIR-197
Eutheria	MIR-2114
Eutheria	MIR-224
Eutheria	MIR-2355
Eutheria	MIR-2483
Eutheria	MIR-28
Eutheria	MIR-296
Eutheria	MIR-3059
Eutheria	MIR-3085
Eutheria	MIR-320
Eutheria	MIR-324
Eutheria	MIR-326
Eutheria	MIR-328
Eutheria	MIR-330
Eutheria	MIR-331
Eutheria	MIR-335
Eutheria	MIR-337
Eutheria	MIR-339
Eutheria	MIR-340
Eutheria	MIR-342
Eutheria	MIR-345
Eutheria	MIR-346
Eutheria	MIR-350
Eutheria	MIR-361
Eutheria	MIR-362
Eutheria	MIR-374
Eutheria	MIR-376
Eutheria	MIR-378
Eutheria	MIR-384
Eutheria	MIR-421
Eutheria	MIR-423
Eutheria	MIR-431
Eutheria	MIR-432
Eutheria	MIR-433
Eutheria	MIR-448
Eutheria	MIR-450
Eutheria	MIR-452
Eutheria	MIR-484
Eutheria	MIR-486
Eutheria	MIR-488
Eutheria	MIR-491
Eutheria	MIR-493
Eutheria	MIR-504
Eutheria	MIR-505
Eutheria	MIR-506
Eutheria	MIR-541
Eutheria	MIR-542
Eutheria	MIR-544
Eutheria	MIR-574
Eutheria	MIR-582
Eutheria	MIR-592
Eutheria	MIR-598
Eutheria	MIR-615
Eutheria	MIR-628
Eutheria	MIR-652
Eutheria	MIR-6529
Eutheria	MIR-653
Eutheria	MIR-670
Eutheria	MIR-6715
Eutheria	MIR-672
Eutheria	MIR-676
Eutheria	MIR-708
Eutheria	MIR-7180
Eutheria	MIR-744
Eutheria	MIR-760
Eutheria	MIR-769
Eutheria	MIR-874
Eutheria	MIR-876
Eutheria	MIR-877
Eutheria	MIR-885
Eutheria	MIR-935
Eutheria	MIR-95
Eutheria	MIR-9851
Gastropoda	MIR-12588
Gastropoda	MIR-1988
Glossinidae+Drosophilidae	MIR-284
Glossinidae+Drosophilidae	MIR-956
Glossinidae+Drosophilidae	MIR-987
Gnathostomata	MIR-1306
Gnathostomata	MIR-1388
Gnathostomata	MIR-139
Gnathostomata	MIR-150
Gnathostomata	MIR-191
Gnathostomata	MIR-214
Gnathostomata	MIR-2184
Gnathostomata	MIR-2188
Gnathostomata	MIR-32
Gnathostomata	MIR-425
Gnathostomata	MIR-725
Heteroconchia	MIR-12610
Heteroconchia	MIR-12611
Heteroconchia	MIR-12612
Hexacorallia	MIR-2023
Hexacorallia	MIR-2025
Hexacorallia	MIR-2036
Hexacorallia	MIR-2050
Hexacorallia	MIR-9425
Hominidae	MIR-4664
Hominidae	MIR-4731
Hominidae	MIR-766
Hominidae	MIR-7854
Lophophorata	MIR-5045
Lophotrochozoa	MIR-1986
Lophotrochozoa	MIR-1990
Lophotrochozoa	MIR-1994
Mammalia	MIR-186
Mammalia	MIR-590
Mammalia	MIR-873
Marsupialia	MIR-12316
Marsupialia	MIR-12355
Marsupialia	MIR-12358
Marsupialia	MIR-12366
Marsupialia	MIR-12380
Marsupialia	MIR-12404
Marsupialia	MIR-12465
Marsupialia	MIR-12466
Marsupialia	MIR-12467
Marsupialia	MIR-12468
Marsupialia	MIR-12469
Marsupialia	MIR-12470
Marsupialia	MIR-12471
Marsupialia	MIR-12472
Marsupialia	MIR-12473
Marsupialia	MIR-1540
Marsupialia	MIR-1541
Marsupialia	MIR-1542
Marsupialia	MIR-1546
Marsupialia	MIR-1547
Marsupialia	MIR-1549
Marsupialia	MIR-7246
Marsupialia	MIR-7247
Marsupialia	MIR-7250
Marsupialia	MIR-7251
Marsupialia	MIR-7254
Marsupialia	MIR-7262
Marsupialia	MIR-7281
Marsupialia	MIR-7284
Marsupialia	MIR-7286
Marsupialia	MIR-7288
Marsupialia	MIR-7292
Marsupialia	MIR-7293
Marsupialia	MIR-7303
Marsupialia	MIR-7304
Marsupialia	MIR-7309
Marsupialia	MIR-7318
Marsupialia	MIR-7319
Marsupialia	MIR-7323
Marsupialia	MIR-7327
Marsupialia	MIR-7329
Marsupialia	MIR-7332
Marsupialia	MIR-7333
Marsupialia	MIR-7336
Marsupialia	MIR-7356
Marsupialia	MIR-7363
Marsupialia	MIR-7368
Marsupialia	MIR-7370
Marsupialia	MIR-7371
Marsupialia	MIR-7373
Marsupialia	MIR-7376
Marsupialia	MIR-7377
Marsupialia	MIR-7378
Marsupialia	MIR-7379
Marsupialia	MIR-7383
Marsupialia	MIR-7385
Marsupialia	MIR-7392
Marsupialia	MIR-7394
Marsupialia	MIR-7397
Marsupialia	MIR-7398
Mollusca	MIR-2722
