mirna	trusted
Mir-12380	81.2
Mir-12404	80
Mir-1540	83.6
Mir-1541	72.4
Mir-1542	87
Mir-1546	87.9
Mir-1547	87.3
Mir-1549	88.7
Mir-7246	79.6
Mir-7247	74
Mir-7251	79.8
Mir-7254	86.1
Mir-7262	68.8
Mir-7281	86.6
Mir-7284	77.5
Mir-7286	86.7
Mir-7292	88.9
Mir-7293	83.8
Mir-7303	60.1
Mir-7304	80.5
Mir-7309	85.2
Mir-7319	88.2
Mir-7323	86.1
Mir-7327	84.5
Mir-7332	89.8
Mir-7333	81.7
Mir-7336	87.7
Mir-7363	80.1
Mir-7368	81.5
Mir-7370	74.1
Mir-7371	44.7
Mir-7373	51.9
Mir-7376	89.1
Mir-7377	83.2
Mir-7378	82.7
Mir-7379	79.9
Mir-7383	72.9
Mir-7385	62.5
Mir-7392	76.4
Mir-7394	66.4
Mir-7397	82.7
Mir-7398	51.6
Mir-1955	85.1
Mir-1962	64.8
Mir-298	87
Mir-3068	85.4
Mir-3072	84.4
Mir-3075	80.3
Mir-3099	79.9
Mir-3112	85.9
Mir-351	92.7
Mir-540	85.8
Mir-666	88.5
Mir-667	92.9
Mir-673	78.2
Mir-674	82.7
Mir-700	87.3
Mir-879	76.3
Mir-2002	77.8
Mir-2004	83.8
Mir-2005	88.4
Mir-2006	68.9
Mir-2007	72.3
Mir-2008	80.3
Mir-2009	83.5
Mir-2010	83.9
Mir-2011	79
Mir-2012	73.8
Mir-4818	54.6
Mir-4819	79
Mir-4820	66.4
Mir-4824	92.6
Mir-4825	88.6
Mir-4826	65.1
Mir-4828	60.9
Mir-4829	63.2
Mir-4830	62.2
Mir-4831	85.6
Mir-4835	81.7
Mir-4838	81.3
Mir-4839	86
