C. elegans	MIR-2953
C. elegans	MIR-4806
C. elegans	MIR-4808
C. elegans	MIR-4814
C. elegans	MIR-5594
C. elegans	MIR-59
C. elegans	MIR-63
C. elegans	MIR-792
C. elegans	MIR-794
C. elegans	MIR-796
C. elegans	MIR-799
C. elegans	MIR-800
C. familiaris	CFA-NOVEL-1
C. familiaris	CFA-NOVEL-10
C. familiaris	CFA-NOVEL-11
C. familiaris	CFA-NOVEL-12
C. familiaris	CFA-NOVEL-13
C. familiaris	CFA-NOVEL-14
C. familiaris	CFA-NOVEL-15
C. familiaris	CFA-NOVEL-16
C. familiaris	CFA-NOVEL-17
C. familiaris	CFA-NOVEL-18
C. familiaris	CFA-NOVEL-2
C. familiaris	CFA-NOVEL-21
C. familiaris	CFA-NOVEL-22
C. familiaris	CFA-NOVEL-23
C. familiaris	CFA-NOVEL-24
C. familiaris	CFA-NOVEL-3
C. familiaris	CFA-NOVEL-4
C. familiaris	CFA-NOVEL-5
C. familiaris	CFA-NOVEL-6
C. familiaris	CFA-NOVEL-7
C. familiaris	CFA-NOVEL-8
C. familiaris	CFA-NOVEL-9
C. familiaris	MIR-1835
C. familiaris	MIR-1838
C. familiaris	MIR-1840
C. familiaris	MIR-1844
C. familiaris	MIR-8859
C. familiaris	MIR-8902
C. familiaris	MIR-8908
C. gigas	CGI-NOVEL-1
C. gigas	CGI-NOVEL-10
C. gigas	CGI-NOVEL-11
C. gigas	CGI-NOVEL-12
C. gigas	CGI-NOVEL-13
C. gigas	CGI-NOVEL-14
C. gigas	CGI-NOVEL-15
C. gigas	CGI-NOVEL-17
C. gigas	CGI-NOVEL-19
C. gigas	CGI-NOVEL-2
C. gigas	CGI-NOVEL-20
C. gigas	CGI-NOVEL-21
C. gigas	CGI-NOVEL-22
C. gigas	CGI-NOVEL-3
C. gigas	CGI-NOVEL-4
C. gigas	CGI-NOVEL-5
C. gigas	CGI-NOVEL-6
C. gigas	CGI-NOVEL-7
C. gigas	CGI-NOVEL-8
C. gigas	CGI-NOVEL-9
